index,lat,lng,city,country,temp,humidity,cloudiness,windspeed,max_temp
489,-4.860610387275912,28.48810535690177,kigoma,tz,71.6,71,100,8.7,77.27
490,-33.665081863653896,12.849182432942968,saldanha,za,57.2,76,11,5.82,57.2
494,40.87793627762386,34.667953842529414,iskilip,tr,30.85,72,23,1.12,30.85
496,19.46187751722634,-82.00576864513049,west bay,ky,77.81,74,20,8.05,78.8
503,1.8436053372962675,116.32387521760575,tarakan,id,80.67,82,95,4.03,80.67
507,-26.866868767682462,23.88357797801288,kuruman,za,63.0,39,0,1.01,61.0
508,39.31524976794651,45.37305548086235,sahbuz,az,19.4,85,40,4.7,19.4
511,36.7565212547476,-101.36794235649273,guymon,us,58.68,37,1,3.36,60.8
513,19.338719852172858,147.31516498557295,katsuura,jp,42.55,60,75,11.41,43.0
517,53.650500720354074,101.03998673422734,kuytun,ru,15.53,95,100,2.86,15.53
518,-5.182523801496018,-56.742903883085205,itaituba,br,79.95,74,99,1.32,79.95
523,36.7286104907175,21.77954391411498,methoni,gr,55.62,87,83,1.12,59.0
527,-45.54227438739903,-37.085883062899796,rio grande,br,79.0,85,57,1.01,79.0
529,-5.808334053871064,95.04693956292061,padang,id,69.12,95,98,3.18,69.12
530,-0.14613981555575606,38.19887945205835,maua,ke,70.23,85,100,3.13,70.23
531,42.900381089061796,8.976598451771679,bastia,fr,46.53,87,34,5.82,46.4
533,40.162214910944215,-83.58699174562197,urbana,us,34.39,88,40,5.82,35.6
538,-10.175800748763066,-68.1453995838331,senador guiomard,br,84.2,83,20,3.36,84.2
540,-46.156343874762186,174.45332130774347,lincoln,nz,76.82,65,42,5.82,81.0
542,26.13151704764627,-97.75150181688659,harlingen,us,76.44,44,40,4.7,82.4
543,36.36973552400454,31.35399364273374,manavgat,tr,46.4,81,74,5.82,46.4
549,-8.100458904641371,149.87392865405565,popondetta,pg,85.41,65,100,2.48,85.41
551,4.646037290157707,115.96701311719352,keningau,my,80.04,83,75,3.51,80.6
553,9.11263264390611,-99.88762604112048,puerto escondido,mx,86.0,74,5,9.17,86.0
558,27.250432680885623,55.618659043333565,qeshm,ir,53.55,76,0,4.7,55.4
566,18.77862923119484,92.71825024300176,akyab,mm,58.96,59,34,9.57,58.96
567,49.92912810363268,163.45437587389023,petropavlovsk-kamchatskiy,ru,24.8,73,40,6.71,24.8
570,44.62690430324716,-120.82856254333248,redmond,us,51.26,54,75,5.82,53.6
572,45.17177080366389,39.270338786490015,dinskaya,ru,36.7,93,75,2.44,39.0
573,32.39978543346916,50.27303871867284,fereydunshahr,ir,14.22,31,0,2.3,14.22
575,35.76796420281555,41.668275521726315,sinjar,iq,38.62,65,0,6.58,38.62
577,56.282543778030345,-49.37048892100134,qaqortoq,gl,14.0,61,100,10.02,14.0
578,0.01510199830761394,94.91597878667102,sibolga,id,72.61,96,100,2.42,72.61
579,9.887084869936217,90.82308104620336,port blair,in,77.52,61,75,12.1,77.52
580,70.95676090220277,119.91996305299216,zhigansk,ru,-29.47,63,0,4.38,-29.47
581,47.04587159257207,122.29947377189166,nianzishan,cn,0.05,79,0,1.88,0.05
582,-58.62220805176331,155.92919040217686,tuatapere,nz,66.99,62,56,8.01,66.99
583,37.46558311763694,-18.620961207733444,camacha,pt,59.0,77,20,2.55,59.0
586,39.57702275217056,91.78880254613762,hami,cn,8.6,74,94,1.81,8.6
588,18.193178368776415,-55.49451116861988,saint-francois,gp,77.0,78,47,5.82,77.0
589,50.74120387977595,-7.876277078738667,kinsale,ie,41.43,80,40,12.75,42.01
590,74.63399978213673,-59.71640791352333,upernavik,gl,-16.28,96,99,3.85,-16.28
592,54.674216183658245,-120.35282147620262,beaverlodge,ca,17.6,100,75,4.7,17.6
593,38.392419587920614,81.5674264116115,aksu,cn,21.92,69,79,1.68,21.92
596,-14.027276032529741,-83.05716045085192,hualmay,pe,72.36,75,67,7.23,72.36
599,-39.27300723166889,-39.10909888956067,cidreira,br,77.38,82,10,13.89,77.38
608,22.036350160331693,-67.44991873251833,samana,do,77.74,83,40,2.64,77.0
614,-20.74933894577147,41.654789790606685,morondava,mg,75.42,90,71,2.17,75.42
615,88.1783787311839,-62.15807806231027,narsaq,gl,14.0,61,100,1.74,14.0
616,39.272299857316426,-72.52787298160725,mastic beach,us,41.47,64,1,3.36,44.6
623,-15.014385166636984,28.11085797030887,chibombo,zm,63.14,88,42,2.1,63.14
626,-35.12753696006802,-38.200293603598055,laguna,br,68.59,93,0,1.57,68.59
633,20.08493285920204,-119.80394983892978,constitucion,mx,56.14,44,75,20.8,57.2
636,10.53232893633104,102.51196588553609,kampot,kh,71.6,94,13,3.36,71.6
638,-17.681691485032403,29.50266449851108,chinhoyi,zw,64.36,91,0,4.63,64.36
640,59.12787340352742,115.75951866233987,kropotkin,ru,36.95,89,99,3.11,36.95
641,-24.465614122995234,55.62056126242078,saint-joseph,re,69.57,78,75,8.05,73.4
646,32.93506179924779,135.37079404358815,tanabe,jp,46.99,87,75,8.05,48.2
656,13.197275385371157,-0.4329664745129662,bogande,bf,69.39,10,3,8.97,69.39
657,24.350492829237012,37.55264829553903,umm lajj,sa,53.53,22,0,3.85,53.53
658,46.84222029681027,125.83368823466071,qinggang,cn,4.66,84,0,7.7,4.66
662,-19.079392946198084,-174.60426518015885,neiafu,to,86.0,70,75,1.9,86.0
668,28.614581524289335,54.680660328377655,darab,ir,40.95,62,0,1.9,40.95
671,57.174272197066415,135.94903050035754,ayan,ru,-5.71,56,7,6.69,-5.71
677,68.67072555971077,33.093202545018016,shonguy,ru,10.4,85,80,8.95,10.4
687,5.30835056776354,91.16807502995948,banda aceh,id,72.59,84,95,4.29,72.59
690,6.562869673251242,40.77928542761552,ginir,et,61.21,90,100,2.8,61.21
692,38.01726776871212,-98.56233871445174,great bend,us,54.37,53,1,3.89,57.2
694,64.87863219077269,131.99944618714522,borogontsy,ru,-28.25,92,100,9.46,-28.25
700,4.519792861235274,-102.82896825921387,acapulco,mx,84.2,66,5,8.05,84.2
701,51.40020140088555,68.77177422792573,atbasar,kz,26.08,94,100,22.32,26.08
707,51.50548698848911,20.436621865647567,opoczno,pl,28.67,89,100,7.0,33.01
709,18.638039309857604,-108.25546299668932,tomatlan,mx,74.62,69,0,7.0,74.62
712,57.28714991361713,16.307191116381944,oskarshamn,se,39.43,100,20,6.93,39.99
718,59.19774778943855,-23.326237974637024,grindavik,is,34.65,64,75,16.11,35.6
722,-5.552621131450039,85.02207881848204,hambantota,lk,76.84,74,92,16.67,76.84
724,-31.92135397883387,162.96148304157003,ballina,au,82.26,65,88,13.87,82.4
729,0.8738404122392467,69.08347069261617,thinadhoo,mv,81.55,76,100,7.83,81.55
731,44.596606008634836,-96.3168344492374,marshall,us,46.38,75,40,4.7,48.2
735,51.63121987279675,-5.871673825413836,wexford,ie,41.05,86,88,7.0,43.0
736,69.04776018609058,-134.6191335528062,aklavik,ca,-20.2,75,90,4.7,-20.2
742,63.08973355430365,-3.8552164433195912,klaksvik,fo,39.2,69,42,19.46,37.4
748,20.095598977741034,128.34966132878702,hirara,jp,68.0,77,75,17.22,68.0
750,-13.858343947161728,-26.231413331486692,sao jose da coroa grande,br,81.82,81,79,14.58,81.82
753,82.00035514183432,28.985886178733523,mehamn,no,20.71,85,75,9.17,19.4
754,56.32220443196218,95.33246487161438,filimonovo,ru,6.57,72,49,7.87,6.57
